Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена
студия,20.2,1,9,0.111111,13.907602690715072,Яшьлек,11.486442921735755,0,0,0,0,3725000
студия,27.9,2,17,0.117647,6.873289251665411,Горки,5.313772690365731,0,0,1,0,6850000
2,60.8,7,18,0.388889,6.57003484239616,Горки,2.432684153270568,0,0,0,0,11990000
2,44.0,3,5,0.6,5.261751536665422,Яшьлек,1.963633643248309,0,0,1,0,7500000
1,32.8,12,18,0.666667,7.196781906620958,Горки,5.630946508121053,0,0,0,0,7200000
1,50.2,2,14,0.142857,8.182064215782546,Горки,5.589254543386711,0,0,1,0,9700000
1,34.6,5,11,0.454545,8.852781945305303,Авиастроительная,1.41295915284428,0,0,1,0,7500000
1,37.0,12,25,0.48,6.5003751903203115,Горки,0.5448669793809052,0,0,1,0,12000000
2,53.0,5,6,0.833333,3.3008692060799136,Козья слобода,0.9542395831098552,0,0,1,0,12999000
3,64.0,8,9,0.888889,8.259925130938546,Проспект Победы,1.6775573114311317,0,0,0,0,12590000
3,58.0,8,9,0.888889,5.553306173494653,Северный вокзал,0.4266736423630438,0,0,1,0,10850000
1,40.0,5,5,1.0,8.043917631642207,Дубравная,0.6580059228606017,0,0,1,0,8890000
2,67.6,2,3,0.666667,16.309034568768027,Дубравная,8.009691047371671,0,0,1,0,6299000
студия,31.0,2,3,0.666667,20.40127478601054,Дубравная,15.64818589217335,0,0,1,0,5100000
1,40.0,5,5,1.0,8.043917631642207,Дубравная,0.6580059228606017,0,0,1,0,8890000
2,67.6,2,3,0.666667,16.309034568768027,Дубравная,8.009691047371671,0,0,1,0,6299000
студия,31.0,2,3,0.666667,20.40127478601054,Дубравная,15.64818589217335,0,0,1,0,5100000
2,51.9,3,10,0.3,3.5062150194679442,Козья слобода,0.9264082050864303,0,0,1,0,11900000
1,31.0,1,5,0.2,4.5946245604097715,Козья слобода,2.25959335110417,0,0,0,0,7299000
3,66.3,7,9,0.777778,7.3549510943376495,Горки,2.345290334380754,0,0,1,0,9999999
2,46.4,2,5,0.4,3.2443704053693603,Суконная слобода,2.071225993942582,0,0,0,0,7000000
1,31.1,2,5,0.4,5.479874078014604,Суконная слобода,4.9832321433019455,0,0,1,0,6200000
1,17.0,2,5,0.4,4.671753139070025,Яшьлек,2.072574662683164,0,0,1,0,3200000
студия,19.4,2,3,0.666667,20.062972136900772,Дубравная,15.370080094756638,0,0,0,0,4000000
1,33.9,2,10,0.2,4.179973073620372,Суконная слобода,3.2830760672919514,0,0,0,0,10700000
студия,14.2,1,5,0.2,4.768376207824368,Яшьлек,0.3442498711023202,0,0,1,0,3300000
студия,17.4,2,5,0.4,10.393380381797263,Авиастроительная,8.384490522190086,0,0,0,0,3200000
3,73.6,2,11,0.181818,9.269478312822294,Дубравная,1.8295808606850092,0,0,0,0,12299000
1,30.3,2,5,0.4,4.88675618885527,Яшьлек,0.8131380964964363,0,0,1,0,7490000
1,31.3,5,5,1.0,4.8701137069777705,Яшьлек,1.7360547304830953,0,0,0,0,5700000
студия,28.6,3,3,1.0,19.91081681521843,Дубравная,15.155008981420348,0,0,1,0,4850000
студия,16.6,5,5,1.0,10.547602016125099,Авиастроительная,8.297027281201677,0,0,1,0,3050000
1,39.0,3,10,0.3,8.98237135473319,Дубравная,1.3512780787682288,0,0,1,0,9290000
студия,18.2,5,5,1.0,7.972092799461887,Авиастроительная,0.5536244587294035,0,0,1,0,3970000
3,71.9,9,16,0.5625,3.511767913516303,Козья слобода,1.3595598392401484,0,0,1,0,15390000
1,36.4,6,9,0.666667,3.9098929877869764,Аметьево,0.4917273508337898,0,0,1,0,7000000
1,39.1,5,9,0.555556,13.907602690715072,Яшьлек,11.486442921735755,0,0,0,0,5915000
студия,17.0,1,3,0.333333,2.886764674796774,Суконная слобода,1.7089185657067056,0,0,1,0,3900000
студия,17.6,9,9,1.0,8.15690302444974,Авиастроительная,1.3945871188574845,0,0,1,0,3350000
2,45.0,5,5,1.0,5.955208081481866,Горки,0.96501291252454,0,0,0,0,6650000
2,64.0,1,8,0.125,3.5347111418575112,Козья слобода,1.7803125175595806,0,0,1,0,9999999
1,42.0,6,7,0.857143,3.2860970286089604,Козья слобода,2.6798527559321146,0,0,0,0,10890000
