Кол-во комнат,"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,Относительный этаж,"Расстояние до центра, км",Ближайшая станция метро,"Расстояние до ближайшей станции метро, км","Балкон/Лоджия (1, 2)",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Цена,Log_Цена,Log_Площадь,Кол-во комнат_num
студия,32.4,20,20,1.0,2.9041799626762765,Козья слобода,0.9579480901948768,0,0,0,0,9720000,16.089696279317273,3.5085558999826545,
2,47.3,5,13,0.384615,12.86033109261013,Дубравная,6.211195100531648,0,0,0,0,9320000,16.047673293957907,3.877431560658527,2.0
1,39.8,20,20,1.0,2.9041799626762765,Козья слобода,0.9579480901948768,0,0,0,0,13333000,16.405752798099467,3.708682081410116,1.0
1,39.8,7,18,0.388889,15.049727184030006,Северный вокзал,11.350043390177824,0,0,1,0,6200000,15.64006001130563,3.708682081410116,1.0
2,58.0,8,14,0.571429,7.9058736301140895,Горки,5.621948393713758,0,0,1,0,10200000,16.13789837629371,4.07753744390572,2.0
2,49.1,4,10,0.4,8.451286263249969,Проспект Победы,3.151608629996535,0,0,1,0,10490000,16.16593307570136,3.914021008090819,2.0
1,36.1,1,5,0.2,3.009489663565067,Козья слобода,1.2451512373568832,0,0,0,0,10800000,16.195056784687036,3.6136169696133895,1.0
1,28.0,2,3,0.666667,16.09015324439676,Дубравная,7.773893521736991,0,0,0,0,4200000,15.250595321348806,3.367295829986474,1.0
3,74.0,9,21,0.428571,3.0516663116278826,Козья слобода,2.1994997665150446,0,0,0,0,15900000,16.58182973008354,4.31748811353631,3.0
3,62.6,5,25,0.2,12.900455169238413,Дубравная,6.322677195230827,0,0,0,0,11458000,16.254198821225923,4.152613470346076,3.0
студия,29.8,19,20,0.95,2.9041799626762765,Козья слобода,0.9579480901948768,0,0,0,0,8940000,16.006046259006514,3.427514689979529,
3,51.3,4,5,0.8,3.427481415775396,Козья слобода,0.4117806481094037,0,0,1,0,9200000,16.034714150714915,3.9569963710708773,3.0
2,57.3,1,9,0.111111,3.0723386843988885,Козья слобода,0.4576574546179929,0,0,0,0,12990000,16.379690465629075,4.065602093356446,2.0
студия,20.0,2,2,1.0,3.822069121565282,Суконная слобода,2.763681464598644,0,0,0,0,4500000,15.319588176962746,3.044522437723423,
1,35.8,12,21,0.571429,3.22934693871082,Суконная слобода,0.9890995522231356,0,0,0,0,11030000,16.216129481891514,3.6054978451748854,1.0
1,34.1,4,11,0.363636,7.761243514016058,Авиастроительная,0.402600836364895,0,0,0,0,10829925,16.197823786082175,3.55820113047182,1.0
1,36.8,9,9,1.0,13.062105321001004,Дубравная,6.342665524858225,0,0,1,0,7450000,15.82372472458392,3.632309102625542,1.0
2,57.0,3,9,0.333333,5.663285154432267,Северный вокзал,2.991320565512384,0,0,0,0,10350000,16.152497174294005,4.060443010546419,2.0
3,58.0,2,5,0.4,7.398353918429243,Авиастроительная,1.0693363051338995,0,0,0,0,8799999,15.990262279448435,4.07753744390572,3.0
1,47.5,10,22,0.454545,3.584332902744898,Козья слобода,2.7998964415793264,0,0,0,0,13800000,16.440179222591198,3.8815637979434374,1.0
1,35.0,6,20,0.3,7.334303251310499,Проспект Победы,0.137205594967656,0,0,0,0,7999999,15.89495209964411,3.58351893845611,1.0
3,62.6,17,25,0.68,12.925310539717035,Дубравная,6.407001612766301,0,0,0,0,11545000,16.261763087388314,4.152613470346076,3.0
2,47.1,4,5,0.8,2.15555472225572,Площадь Тукая,1.997193863976844,0,0,1,0,6700000,15.717618233614914,3.8732821771117156,2.0
3,55.2,1,2,0.5,19.017634401604678,Дубравная,14.358191795715037,0,0,0,0,4499999,15.319587954740548,4.028916756899646,3.0
1,55.0,2,16,0.125,4.228442658309133,Суконная слобода,2.9524484902819386,0,0,0,0,11400000,16.249124001084017,4.02535169073515,1.0
2,50.0,2,5,0.4,10.381550207950273,Авиастроительная,4.042747488367432,0,0,1,0,7000000,15.76142084987672,3.9318256327243257,2.0
1,37.9,2,21,0.095238,3.7684485277229753,Суконная слобода,2.785814575876997,0,0,0,0,14990000,16.52289393678992,3.6609942506244004,1.0
2,64.9,9,11,0.818182,7.761243514016058,Авиастроительная,0.402600836364895,0,0,0,0,16247430,16.603445361934423,4.188138441508461,2.0
студия,17.4,5,5,1.0,5.276530990211187,Аметьево,2.7347226446599997,0,0,1,0,3150000,14.962913328262083,2.91235066461494,
3,81.7,6,17,0.352941,2.390610511152834,Суконная слобода,1.4386555690115137,0,0,1,0,26100000,17.077445910607096,4.415219602029645,3.0
4+,75.3,9,9,1.0,3.5224910355361017,Суконная слобода,2.0282745471234027,0,0,0,0,12190000,16.316126583491904,4.334672938290411,4.0
1,41.0,9,10,0.9,13.062105321001004,Дубравная,6.342665524858225,0,0,1,0,7450000,15.82372472458392,3.7376696182833684,1.0
1,50.0,13,24,0.541667,5.4662971465546,Аметьево,1.3837786818744064,0,0,0,0,11000000,16.213405921671733,3.9318256327243257,1.0
2,49.8,11,19,0.578947,12.86033109261013,Дубравная,6.211195100531648,0,0,0,0,9510000,16.067854539674038,3.927896354584436,2.0
2,56.8,10,20,0.5,2.9041799626762765,Козья слобода,0.9579480901948768,0,0,0,0,17892000,16.699864299425776,4.056988775678332,2.0
1,33.6,14,17,0.823529,7.725296718643915,Горки,5.4877658670346845,0,0,1,0,8300000,15.931766193248746,3.543853682063679,1.0
2,57.0,5,7,0.714286,7.015638960263904,Авиастроительная,0.5235317034356172,0,0,1,0,10700000,16.185754392890075,4.060443010546419,2.0
1,43.5,5,9,0.555556,6.21278542411722,Аметьево,3.1195570210030352,0,0,1,0,12350000,16.329166702009918,3.7954891891721947,1.0
1,39.7,13,20,0.65,2.9041799626762765,Козья слобода,0.9579480901948768,0,0,0,0,11513000,16.258987476514132,3.7062280924485496,1.0
2,62.0,14,24,0.583333,3.2113373578964475,Суконная слобода,0.9591046453791402,0,0,0,0,15100000,16.530205368010318,4.143134726391533,2.0
3,80.0,1,13,0.076923,7.115940445432566,Горки,5.468332708954694,0,0,1,0,12640000,16.352377025796905,4.394449154672439,3.0
