"Площадь, м^2",Этаж квартиры,Кол-во этажей в доме,"Расстояние до центра, км",Чистовая отделка,Проверено в Росреестре,От зайстройщика,Есть Балкон,Есть Лоджия,Metro_Аметьево,Metro_Горки,Metro_Дубравная,Metro_Козья слобода,Metro_Кремлёвская,Metro_Площадь Тукая,Metro_Проспект Победы,Metro_Северный вокзал,Metro_Суконная слобода,Metro_Яшьлек,Цена_log
62.0,4,10,13.273925674538566,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16.300417291085605
62.6,5,9,7.597102919660764,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16.379690465629075
21.0,1,5,5.208509998031419,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14.879876752850267
18.5,5,9,6.120976062897152,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.26242977619469
41.6,2,5,11.174871841374202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.59046307836746
33.1,9,9,4.2402744754812645,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15.919644834185693
37.0,6,9,8.581285855657182,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.76142084987672
54.2,4,4,5.612370394317741,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15.925723758310864
32.7,9,9,11.648661765177485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.598901945589025
45.0,4,10,9.087325292553851,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.257857680289998
17.1,3,5,4.982165902665401,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15.03634077434184
34.0,5,6,7.144451972693159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.738298435797553
53.0,2,5,2.7769328846470858,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15.789591722875162
42.5,5,5,5.038101795909952,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15.747032114495013
24.0,4,5,15.65995069893592,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.209277182061793
26.3,2,3,16.5825592615498,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.18922639004183
45.2,5,5,6.334653664893941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.671652442396002
65.0,6,9,7.275441826699302,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16.056220353623207
50.1,3,5,13.410000068423727,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.83028036963463
49.6,7,10,5.404313836895049,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.04552506565036
20.2,1,9,13.907602690715072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.130577678252136
27.9,2,17,6.873289251665411,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15.739759356223798
60.8,7,18,6.57003484239616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.29958361040653
44.0,3,5,5.261751536665422,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.830413711839864
32.8,12,18,7.196781906620958,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.789591722875162
50.2,2,14,8.182064215782546,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.08763654656639
34.6,5,11,8.852781945305303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.830413711839864
37.0,12,25,6.500375190320312,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.300417291085605
53.0,5,6,3.3008692060799136,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.380383066319148
64.0,8,9,8.259925130938546,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16.348413485448646
58.0,8,9,5.553306173494653,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16.19967573011664
40.0,5,5,8.043917631642207,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16.00043771997602
67.6,2,3,16.309034568768027,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.65590160735941
31.0,2,3,20.40127478601054,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.444751293772967
40.0,5,5,8.043917631642207,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16.00043771997602
67.6,2,3,16.309034568768027,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.65590160735941
31.0,2,3,20.40127478601054,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.444751293772967
51.9,3,10,3.506215019467944,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.29204904211537
31.0,1,5,4.594624560409772,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.80324804743883
66.3,7,9,7.3549510943376495,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.11809565095832
46.4,2,5,3.2443704053693603,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.76142084987672
31.1,2,5,5.479874078014604,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.64006001130563
17.0,2,5,4.671753139070025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14.978661680269907
19.4,2,3,20.06297213690077,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.201805169084134
33.9,2,10,4.179973073620372,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.185754392890075
14.2,1,5,4.768376207824368,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.009433329466965
17.4,2,5,10.393380381797265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.978661680269907
73.6,2,11,9.269478312822294,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.32502859753197
30.3,2,5,4.88675618885527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.829079489004743
31.3,5,5,4.8701137069777705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.555976908243359
28.6,3,3,19.91081681521843,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.394489469099211
16.6,5,5,10.5476020161251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.930652476452392
39.0,3,10,8.98237135473319,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16.044449218432643
18.2,5,5,7.972092799461887,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.19427690455251
71.9,9,16,3.511767913516303,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.54922857079232
36.4,6,9,3.909892987786976,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15.76142084987672
39.1,5,9,13.907602690715072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.593002224456317
17.0,1,3,2.886764674796774,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15.176487367510099
17.6,9,9,8.15690302444974,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.024471202308668
45.0,5,5,5.955208081481866,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.710127563007966
64.0,1,8,3.5347111418575112,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16.11809565095832
42.0,6,7,3.2860970286089604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.203355586736503
50.0,3,16,4.351043125700456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16.10298211467111
50.0,14,24,6.291717494785359,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.38045991542581
41.5,2,9,7.866936057344911,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.607270193858982
61.2,16,17,7.239205797106982,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.15722030180546
40.0,14,19,12.453319499881674,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15.732433317205148
62.3,3,18,16.64333179702786,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.967272877502799
56.6,6,10,6.147966595380342,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16.13789837629371
45.9,4,21,8.803938858262145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16.04013421759671
60.6,4,25,8.739007446152732,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16.26219608151216
47.0,5,19,13.368913906149862,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15.656060350091908
95.0,5,10,5.717887252598585,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.488969383309975
50.0,9,9,5.441299422532659,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15.955576839107596
31.0,3,5,10.779444938330712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.308414878861498
54.1,5,9,5.544326473991698,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15.90737474309945
